instance,element_id,MISES,S11,S22,S33,S12,S13,S23
PART-1-1,163,84.6738,84.8238,0.052713,0.253393,-0.395854,0.0646794,0.0307948
PART-1-1,164,84.6738,84.8238,0.052713,0.253393,-0.395854,-0.0646801,-0.0307948
PART-1-1,165,23.5845,23.5496,-0.138771,0.0725196,0.129456,-0.00682527,0.00547095
PART-1-1,166,23.5845,23.5496,-0.138771,0.0725196,0.129456,0.00682543,-0.00547096
PART-1-1,167,38.3415,-38.4836,0.0179834,-0.304311,0.0328983,-0.0356822,0.0161201
PART-1-1,168,38.3415,-38.4836,0.0179834,-0.304311,0.0328983,0.0356832,-0.0161201
PART-1-1,169,87.2428,86.3797,-1.33433,-0.38336,0.111043,-0.0729625,-0.0611998
PART-1-1,170,87.2428,86.3797,-1.33433,-0.38336,0.111043,0.0729617,0.0611998
PART-1-1,171,23.1897,22.8493,-0.54531,-0.00442005,-0.969135,0.0230445,0.00625583
PART-1-1,172,23.1897,22.8493,-0.54531,-0.00442005,-0.969135,-0.0230444,-0.00625583
PART-1-1,173,38.706,-38.4811,0.143079,0.302455,0.220983,0.0160794,-0.0267703
PART-1-1,174,38.706,-38.4811,0.143079,0.302455,0.220983,-0.0160784,0.0267703
PART-1-1,175,82.0311,83.5335,2.55234,0.607671,1.81302,0.0678016,0.0588673
PART-1-1,176,82.0311,83.5335,2.55234,0.607671,1.81302,-0.0678023,-0.0588674
PART-1-1,177,28.8983,27.6451,-2.13491,-0.08559,1.30244,-0.039491,0.0241926
PART-1-1,178,28.8983,27.6451,-2.13491,-0.08559,1.30244,0.0394911,-0.0241926
PART-1-1,179,39.4778,-40.6888,-2.55648,-0.357556,-2.28993,0.0186484,0.0113205
PART-1-1,180,39.4778,-40.6888,-2.55648,-0.357556,-2.28993,-0.0186474,-0.0113205
PART-1-1,181,90.0573,87.785,-2.65993,-1.2875,-4.17428,-0.0274784,-0.0415507
PART-1-1,182,90.0573,87.785,-2.65993,-1.2875,-4.17428,0.0274777,0.0415508
PART-1-1,183,19.2536,22.2535,11.6744,0.596049,-2.5051,0.0238433,-0.0909303
PART-1-1,184,19.2536,22.2535,11.6744,0.596049,-2.5051,-0.0238431,0.0909303
PART-1-1,185,44.5798,-38.555,9.16603,0.0918244,4.49952,-0.0433174,0.0412973
PART-1-1,186,44.5798,-38.555,9.16603,0.0918244,4.49952,0.0433185,-0.0412973
PART-1-1,187,74.7783,83.0242,33.1708,3.13153,-15.3409,-0.0851668,-0.397831
PART-1-1,188,74.7783,83.0242,33.1708,3.13153,-15.3409,0.085166,0.397831
PART-1-1,189,26.5034,-2.15085,15.8684,-1.48411,11.3806,0.036606,0.498603
PART-1-1,190,26.5034,-2.15085,15.8684,-1.48411,11.3806,-0.0366056,-0.498603
PART-1-1,191,29.255,-21.8186,-2.20485,0.186976,11.8092,0.0324486,-0.217374
PART-1-1,192,29.255,-21.8186,-2.20485,0.186976,11.8092,-0.0324478,0.217373
PART-1-1,193,59.9329,34.85,-31.7488,-2.6329,-9.08327,0.0989732,0.343133
PART-1-1,194,59.9329,34.85,-31.7488,-2.6329,-9.08327,-0.0989735,-0.343133
PART-1-1,195,36.668,-7.85418,-24.853,1.23856,16.5092,-0.0261983,-0.472906
PART-1-1,196,36.668,-7.85418,-24.853,1.23856,16.5092,0.0261989,0.472906
PART-1-1,197,9.1734,-4.66852,-4.56543,-0.240267,4.64965,-0.0278139,0.206159
PART-1-1,198,9.1734,-4.66852,-4.56543,-0.240267,4.64965,0.0278145,-0.206159
PART-1-1,199,83.4583,-51.633,-12.8828,0.91017,39.4904,-0.0268242,-4.49046
PART-1-1,200,83.4583,-51.633,-12.8828,0.91017,39.4904,0.0268225,4.49046
PART-1-1,201,133.821,-118.765,12.2946,-1.80306,27.8839,0.145251,3.99333
PART-1-1,202,133.821,-118.765,12.2946,-1.80306,27.8839,-0.145253,-3.99333
PART-1-1,203,142.607,-142.751,-3.25936,2.61248,-2.89382,-0.108354,0.126364
PART-1-1,204,142.607,-142.751,-3.25936,2.61248,-2.89382,0.108352,-0.126364
